X,Y,inci_no,descript,alm_date,alm_time,station,number,street,st_type,st_suffix,addr_2,apt_room,xst_prefix,xstreet,xst_type,xst_suffix,latitude,longitude,inci_type,clr_date,clr_time,alarms,complete,LastUpdateDate,StartDate,EndDate,OBJECTID
-93.2019517226864,44.9025079867628,22-0000126,"Cooking fire, confined to container               ",2022/01/01 00:00:00+00,13:21:11,   ,1       ,Veterans                 ,DR  ,  ,                                        ,               ,  ,                         ,    ,  ,44.9025,-93.201944,113 ,2022/01/01 00:00:00+00,13:34:27,1,1,2022/01/02 18:30:36+00,2022/01/01 13:21:11+00,2022/01/01 13:34:27+00,56
-93.3217657619483,44.9393259838154,22-0000157,"Special outside fire, Other                       ",2022/01/01 00:00:00+00,17:40:30,22 ,3537    ,Zenith                   ,AVE ,S ,                                        ,               ,  ,                         ,    ,  ,44.939318,-93.321758,160 ,2022/01/01 00:00:00+00,17:50:40,1,1,2022/01/02 18:30:36+00,2022/01/01 17:40:30+00,2022/01/01 17:50:40+00,57
-93.3021287655586,45.0059969948916,22-0000160,"Cooking fire, confined to container               ",2022/01/01 00:00:00+00,18:24:56,14 ,1719    ,26                       ,AVE ,N ,                                        ,               ,  ,                         ,    ,  ,45.005989,-93.302121,113 ,2022/01/01 00:00:00+00,19:32:30,1,1,2022/01/02 18:30:36+00,2022/01/01 18:24:56+00,2022/01/01 19:32:30+00,58
-93.2361187387461,44.9483409910849,22-0000185,Dumpster or other outside trash receptacle fire   ,2022/01/01 00:00:00+00,21:09:14,21 ,2500    ,LAKE                     ,ST  ,E ,                                        ,               ,  ,                         ,    ,  ,44.948333,-93.236111,154 ,2022/01/01 00:00:00+00,21:30:07,1,1,2022/01/02 18:30:36+00,2022/01/01 21:09:14+00,2022/01/01 21:30:07+00,59
-93.2382297388564,44.9447659904166,22-0006228,"Cooking fire, confined to container               ",2022/02/11 00:00:00+00,14:40:44,05 ,2340    ,32                       ,ST  ,E ,                                        ,420            ,  ,                         ,    ,  ,44.944758,-93.238222,113 ,2022/02/11 00:00:00+00,15:40:05,1,1,2022/02/13 18:30:44+00,2022/02/11 14:40:44+00,2022/02/11 15:40:05+00,60
-93.2778267536213,44.9698469913205,22-0006291,"Cooking fire, confined to container               ",2022/02/12 00:00:00+00,00:53:26,06 ,1350    ,Nicollet                 ,AVE ,  ,                                        ,610            ,  ,                         ,    ,  ,44.969839,-93.277819,113 ,2022/02/12 00:00:00+00,01:27:52,1,1,2022/02/13 18:30:44+00,2022/02/12 00:53:26+00,2022/02/12 01:27:52+00,61
-93.2793397533592,44.9648199904827,22-0006380,Dumpster or other outside trash receptacle fire   ,2022/02/12 00:00:00+00,16:58:26,06 ,1826    ,Lasalle                  ,AVE ,  ,                                        ,21             ,  ,                         ,    ,  ,44.964812,-93.279332,154 ,2022/02/12 00:00:00+00,17:19:05,1,1,2022/02/13 18:30:44+00,2022/02/12 16:58:26+00,2022/02/12 17:19:05+00,62
-93.2321067432948,44.9896209973826,22-0006391,Outside equipment fire                            ,2022/02/12 00:00:00+00,18:01:49,11 ,        ,14                       ,AVE ,SE,                                        ,               ,SE,Talmage                  ,AVE ,  ,44.989613,-93.232099,162 ,2022/02/12 00:00:00+00,18:11:05,1,1,2022/02/13 18:30:44+00,2022/02/12 18:01:49+00,2022/02/12 18:11:05+00,63
-93.2177297399623,44.9952339992005,22-0002360,Off-road vehicle or heavy equipment fire          ,2022/01/15 00:00:00+00,01:58:43,11 ,3101    ,SPRING                   ,ST  ,NE,                                        ,               ,  ,                         ,    ,  ,44.995226,-93.217722,138 ,2022/01/15 00:00:00+00,02:49:48,1,1,2022/01/19 18:30:41+00,2022/01/15 01:58:43+00,2022/01/15 02:49:48+00,64
-93.2562837522203,45.0042229978269,22-0002754,Building fire                                     ,2022/01/17 00:00:00+00,22:51:15,02 ,1606    ,ADAMS                    ,ST  ,NE,                                        ,               ,  ,                         ,    ,  ,45.004215,-93.256276,111 ,2022/01/18 00:00:00+00,00:11:35,1,1,2022/01/19 18:30:41+00,2022/01/17 22:51:15+00,2022/01/18 00:11:35+00,65
